id,label
c2g1s1,3
c2g1s2,0
c2g1s3,0
c2g1s4,1
c2g1s5,1
c2g1s6,1
c2g1s7,1
c2g1s8,1
c2g1s9,3
c2g1s10,3
c2g1s11,0
c2g1s12,0
c2g1s13,3
c2g1s14,3
c2g1s15,3
c2g1s16,3
c2g1s17,1
c2g1s18,1
c2g1s19,1
c2g1s20,0
c2g1s21,0
c2g1s22,0
c2g1s23,3
c2g1s24,1
c2g1s25,1
c2g1s26,1
c2g1s27,3
c2g1s28,1
c2g1s29,3
c2g1s30,0
c2g1s31,0
c2g1s32,1
c2g1s33,3
c2g1s34,1
c2g1s35,1
c2g1s36,1
c2g1s37,1
c2g1s38,0
c2g1s39,0
c2g1s40,3
c2g1s41,0
c2g1s42,1
c2g1s43,1
c2g1s44,3
c2g1s45,1
c2g1s46,1
c2g1s47,1
c2g1s48,0
c2g1s49,1
c2g1s50,1
c2g1s51,0
c2g1s52,0
c2g1s53,1
c2g1s54,1
c2g1s55,0
c2g1s56,1
c2g1s57,3
c2g1s58,3
c2g1s59,0
c2g1s60,0
c2g1s61,0
c2g1s62,1
c2g1s63,0
c2g1s64,0
c2g1s65,3
c2g1s66,3
c2g1s67,3
c2g1s68,0
c2g1s69,1
c2g1s70,0
c2g1s71,3
c2g1s72,3
c2g1s73,3
c2g1s74,3
c2g1s75,0
c2g1s76,3
c2g1s77,1
c2g1s78,3
c2g1s79,0
c2g1s80,1
c2g1s81,0
c2g1s82,3
c2g1s83,1
c2g1s84,0
c2g1s85,1
c2g1s86,1
c2g1s87,3
c2g1s88,3
c2g1s89,1
c2g1s90,3
c2g1s91,3
c2g1s92,1
c2g1s93,0
c2g1s94,0
c2g1s95,3
c2g1s96,3
c2g1s97,3
c2g1s98,1
c2g1s99,0
c2g1s100,3
c2g1s101,0
c2g1s102,1
c2g1s103,1
c2g1s104,1
c2g1s105,3
c2g1s106,0
c2g1s107,3
c2g1s108,3
c2g1s109,1
c2g1s110,3
c2g1s111,0
c2g1s112,0
c2g1s113,3
c2g1s114,3
c2g1s115,1
c2g1s116,3
c2g1s117,0
c2g1s118,1
c2g1s119,0
c2g1s120,1
c2g1s121,3
c2g1s122,0
c2g1s123,3
c2g1s124,3
c2g1s125,1
c2g1s126,1
c2g1s127,1
c2g1s128,3
c2g1s129,3
c2g1s130,3
c2g1s131,3
c2g1s132,3
c2g1s133,3
c2g1s134,3
c2g1s135,1
c2g1s136,1
c2g1s137,1
c2g1s138,0
c2g1s139,3
