id,labels
monkeyc7sp1s3324,6
monkeyc6r1s2918,11
monkeyc1g1s329,11
monkeyc4l2s1600,11
monkeyc8sp2s3617,0
monkeyc8sp2s3685,1
monkeyc8sp2s3516,2
monkeyc5hr1s2453,9
monkeyc7sp1s3357,6
monkeyc7sp1s3154,3
monkeyc7sp1s3288,6
monkeyc4l2s1546,11
monkeyc1g1s235,11
monkeyc4l2s1742,11
monkeyc3l1s1432,11
monkeyc4l2s1645,11
monkeyc2g2s541,4
monkeyc1g1s319,11
monkeyc7sp1s3399,5
monkeyc8sp2s3767,10
monkeyc7sp1s3446,6
monkeyc1g1s192,11
monkeyc1g1s327,11
monkeyc6r1s2941,7
monkeyc1g1s255,11
monkeyc8sp2s3793,10
monkeyc6r1s2869,9
monkeyc5hr1s2499,7
monkeyc5hr1s2380,11
monkeyc6r1s2900,11
monkeyc1g1s210,11
monkeyc5hr1s2125,11
monkeyc6r1s2947,11
monkeyc3l1s1222,11
monkeyc6r1s2604,7
monkeyc6r1s2641,8
monkeyc5hr1s2271,9
monkeyc3l1s1161,11
monkeyc8sp2s3765,10
monkeyc2g2s851,11
